Market-id,Market-name,Year,Month,Txn-count,Total Active Plastic,Total Active Basic,Active Accounts
IT,Italy,2019,12,2124363,671511,550419,504972
ES,Spain,2019,12,1967023,665194,525845,459253
US,United States,2020,1,6967588,2479923,2032724,1864884
GB,United Kingdom,2020,1,3965197,1537142,1215132,1061251
CA,Canada,2020,1,2630919,1115516,851539,709616
DE,Germany,2020,1,3152253,1225686,904565,829876
FR,France,2020,1,2670569,1011661,829230,724218
AU,Australia,2020,1,2405860,953494,753750,628125
JP,Japan,2020,1,4396897,1724829,1316663,1207948
SG,Singapore,2020,1,1276777,520035,383790,335188
IN,India,2020,1,3504208,1349198,1105900,921583
BR,Brazil,2020,1,2256556,812798,642528,589475
MX,Mexico,2020,1,1580677,620615,473752,413757
AE,United Arab Emirates,2020,1,1171261,503004,371221,309351
IT,Italy,2020,1,1919665,678571,556206,510281
ES,Spain,2020,1,1696372,672062,531274,463995
US,United States,2020,2,7024197,2490936,2041751,1873166
GB,United Kingdom,2020,2,4119286,1535219,1213612,1059923
CA,Canada,2020,2,2690138,1113930,850328,708607
DE,Germany,2020,2,3220531,1227639,906007,831199
FR,France,2020,2,2772094,1018939,835196,729429
AU,Australia,2020,2,2428205,962929,761209,634341
JP,Japan,2020,2,4609134,1732290,1322359,1213173
SG,Singapore,2020,2,1282771,521092,384570,335869
IN,India,2020,2,3708056,1352679,1108753,923961
BR,Brazil,2020,2,2281384,815979,645043,591783
MX,Mexico,2020,2,1649447,625739,477663,417173
AE,United Arab Emirates,2020,2,1200668,509358,375910,313258
IT,Italy,2020,2,1963472,682588,559498,513301
ES,Spain,2020,2,1759492,673085,532083,464701
US,United States,2020,3,5307851,2489520,2040590,1872101
GB,United Kingdom,2020,3,3004563,1532067,1211120,1057747
CA,Canada,2020,3,2051565,1117002,852673,710561
DE,Germany,2020,3,2336722,1236145,912284,836958
FR,France,2020,3,2108180,1027832,842485,735795
AU,Australia,2020,3,1777105,968938,765959,638299
JP,Japan,2020,3,3462029,1730357,1320883,1211819
SG,Singapore,2020,3,954490,520960,384472,335783
IN,India,2020,3,2765049,1360230,1114943,929119
BR,Brazil,2020,3,1728226,823728,651168,597402
MX,Mexico,2020,3,1207994,632769,483030,421860
AE,United Arab Emirates,2020,3,919050,514588,379770,316475
IT,Italy,2020,3,1423888,682901,559755,513537
ES,Spain,2020,3,1339889,671693,530983,463741
US,United States,2020,4,5796402,2486109,2037794,1869536
GB,United Kingdom,2020,4,3160716,1535323,1213694,1059995
CA,Canada,2020,4,2212051,1126048,859579,716316
DE,Germany,2020,4,2494820,1246604,920003,844039
FR,France,2020,4,2233642,1033048,846761,739529
AU,Australia,2020,4,1931243,969700,766561,638801
JP,Japan,2020,4,3617857,1724471,1316390,1207697
SG,Singapore,2020,4,1047970,522384,385523,336701
IN,India,2020,4,2904757,1375427,1127399,939499
BR,Brazil,2020,4,1896149,834006,659293,604856
MX,Mexico,2020,4,1273116,638387,487318,425605
AE,United Arab Emirates,2020,4,996584,517053,381589,317991
IT,Italy,2020,4,1516973,680767,558006,511932
ES,Spain,2020,4,1422835,671356,530716,463507
US,United States,2020,5,6078634,2493097,2043522,1874791
GB,United Kingdom,2020,5,3407844,1546779,1222750,1067904
CA,Canada,2020,5,2293485,1136894,867858,723215
DE,Germany,2020,5,2705404,1252597,924426,848097
FR,France,2020,5,2309366,1032665,846447,739255
AU,Australia,2020,5,2089389,968242,765409,637841
JP,Japan,2020,5,3771045,1723752,1315841,1207194
SG,Singapore,2020,5,1120943,526724,388726,339499
IN,India,2020,5,3103443,1394899,1143360,952800
BR,Brazil,2020,5,1999121,842443,665963,610975
MX,Mexico,2020,5,1375277,640559,488976,427053
AE,United Arab Emirates,2020,5,1038343,517667,382042,318368
IT,Italy,2020,5,1643967,679703,557134,511132
ES,Spain,2020,5,1471589,674600,533281,465748
US,United States,2020,6,6215459,2513420,2060180,1890073
GB,United Kingdom,2020,6,3625842,1560692,1233749,1077510
CA,Canada,2020,6,2370679,1143688,873044,727537
DE,Germany,2020,6,2835405,1251799,923837,847557
FR,France,2020,6,2423287,1029920,844197,737290
AU,Australia,2020,6,2159779,969683,766548,638790
JP,Japan,2020,6,4009437,1732610,1322603,1213397
SG,Singapore,2020,6,1148581,532669,393114,343331
IN,India,2020,6,3347525,1411348,1156843,964036
BR,Brazil,2020,6,2050888,846348,669050,613807
MX,Mexico,2020,6,1469326,640434,488881,426970
AE,United Arab Emirates,2020,6,1076229,519094,383095,319246
IT,Italy,2020,6,1724891,682264,559233,513058
ES,Spain,2020,6,1542732,680679,538086,469944
US,United States,2020,7,6453552,2537761,2080132,1908378
GB,United Kingdom,2020,7,3677863,1569026,1240337,1083264
CA,Canada,2020,7,2493639,1144289,873503,727919
DE,Germany,2020,7,2848091,1248139,921136,845079
FR,France,2020,7,2554793,1030258,844474,737532
AU,Australia,2020,7,2177437,976523,771955,643296
JP,Japan,2020,7,4191842,1746657,1333326,1223235
SG,Singapore,2020,7,1173692,537424,396623,346396
IN,India,2020,7,3479170,1420247,1164137,970114
BR,Brazil,2020,7,2134275,847224,669742,614442
MX,Mexico,2020,7,1496996,641314,489553,427557
AE,United Arab Emirates,2020,7,1135712,523304,386202,321835
IT,Italy,2020,7,1732567,687681,563673,517131
ES,Spain,2020,7,1627836,686226,542471,473774
US,United States,2020,8,6719359,2553062,2092674,1919884
GB,United Kingdom,2020,8,3659498,1568858,1240204,1083148
CA,Canada,2020,8,2572859,1142270,871962,726635
DE,Germany,2020,8,2868878,1248219,921195,845133
FR,France,2020,8,2592146,1036325,849447,741875
AU,Australia,2020,8,2234710,986315,779696,649747
JP,Japan,2020,8,4184690,1756713,1341002,1230277
SG,Singapore,2020,8,1221847,539282,397994,347593
IN,India,2020,8,3475344,1424076,1167275,972729
BR,Brazil,2020,8,2231559,849430,671486,616042
MX,Mexico,2020,8,1492865,645624,492843,430431
AE,United Arab Emirates,2020,8,1178171,529740,390952,325793
IT,Italy,2020,8,1741654,692550,567664,520793
ES,Spain,2020,8,1655487,688355,544154,475244
US,United States,2020,9,6748151,2554535,2093881,1920992
GB,United Kingdom,2020,9,3729224,1565102,1237235,1080555
CA,Canada,2020,9,2547063,1143671,873031,727526
DE,Germany,2020,9,2953269,1255237,926374,849884
FR,France,2020,9,2546515,1045506,856972,748447
AU,Australia,2020,9,2306623,993885,785680,654733
JP,Japan,2020,9,4125320,1757239,1341404,1230646
SG,Singapore,2020,9,1251173,539205,397937,347543
IN,India,2020,9,3503812,1430155,1172258,976882
BR,Brazil,2020,9,2253421,856189,676829,620944
MX,Mexico,2020,9,1523743,652664,498217,435124
AE,United Arab Emirates,2020,9,1172557,535800,395424,329520
IT,Italy,2020,9,1790850,693963,568822,521855
ES,Spain,2020,9,1627745,687319,543335,474528
US,United States,2020,10,6628258,2550162,2090297,1917704
GB,United Kingdom,2020,10,3833781,1566033,1237971,1081197
CA,Canada,2020,10,2518083,1151436,878959,732466
DE,Germany,2020,10,2999509,1266020,934332,857185
FR,France,2020,10,2551564,1052309,862548,753317
AU,Australia,2020,10,2310293,996076,787412,656177
JP,Japan,2020,10,4196277,1751465,1336996,1226602
SG,Singapore,2020,10,1238252,539974,398505,348039
IN,India,2020,10,3632167,1443929,1183548,986290
BR,Brazil,2020,10,2221831,866587,685049,628485
MX,Mexico,2020,10,1572299,659220,503221,439494
AE,United Arab Emirates,2020,10,1162779,539214,397944,331620
IT,Italy,2020,10,1820627,692184,567364,520517
ES,Spain,2020,10,1629444,686298,542528,473824
US,United States,2020,11,6713030,2553423,2092970,1920156
GB,United Kingdom,2020,11,3847260,1575670,1245589,1087851
CA,Canada,2020,11,2590138,1162677,887540,739617
DE,Germany,2020,11,2969895,1273920,940162,862534
FR,France,2020,11,2643154,1053409,863450,754105
AU,Australia,2020,11,2284356,994695,786320,655267
JP,Japan,2020,11,4331375,1748449,1334694,1224490
SG,Singapore,2020,11,1235779,543630,401203,350396
IN,India,2020,11,3737126,1463891,1199911,999926
BR,Brazil,2020,11,2255197,876365,692779,635577
MX,Mexico,2020,11,1585148,662505,505729,441685
AE,United Arab Emirates,2020,11,1199464,540157,398640,332200
IT,Italy,2020,11,1803428,690424,565921,519194
ES,Spain,2020,11,1688510,688494,544264,475340
US,United States,2020,12,8098479,2570896,2107292,1933295
GB,United Kingdom,2020,12,4418922,1590049,1256956,1097778
CA,Canada,2020,12,3110484,1171292,894116,745097
DE,Germany,2020,12,3440279,1274914,940896,863207
FR,France,2020,12,3128206,1050731,861255,752188
AU,Australia,2020,12,2694301,994874,786462,655385
JP,Japan,2020,12,5038513,1754757,1339509,1228907
SG,Singapore,2020,12,1482603,549587,405599,354235
IN,India,2020,12,4333189,1482869,1215466,1012888
BR,Brazil,2020,12,2730727,881818,697089,639531
MX,Mexico,2020,12,1825647,662750,505916,441848
AE,United Arab Emirates,2020,12,1447742,541117,399348,332790
IT,Italy,2020,12,2085334,691899,567130,520303
ES,Spain,2020,12,2002881,694169,548750,479258
US,United States,2021,1,7285322,2602680,2133344,1957196
GB,United Kingdom,2021,1,3983600,1600043,1264856,1104678
CA,Canada,2021,1,2752217,1169999,893129,744274
DE,Germany,2021,1,3144099,1267752,935610,858358
FR,France,2021,1,2735337,1049719,860425,751463
AU,Australia,2021,1,2480272,1003208,793050,660875
JP,Japan,2021,1,4401912,1773779,1354030,1242229
SG,Singapore,2021,1,1358739,555387,409880,357974
IN,India,2021,1,3861810,1490783,1221953,1018294
BR,Brazil,2021,1,2470189,880391,695961,638496
MX,Mexico,2021,1,1648063,662395,505645,441611
AE,United Arab Emirates,2021,1,1288218,545831,402827,335689
IT,Italy,2021,1,1902820,699173,573093,525773
ES,Spain,2021,1,1753637,701338,554417,484207
US,United States,2021,2,7305764,2614237,2142817,1965887
GB,United Kingdom,2021,2,4187237,1598040,1263273,1103295
CA,Canada,2021,2,2767988,1168334,891858,743215
DE,Germany,2021,2,3274350,1269772,937101,859726
FR,France,2021,2,2782323,1057273,866617,756871
AU,Australia,2021,2,2549361,1013137,800899,667416
JP,Japan,2021,2,4547354,1781452,1359887,1247603
SG,Singapore,2021,2,1377872,556517,410714,358702
IN,India,2021,2,4076644,1494629,1225106,1020922
BR,Brazil,2021,2,2487489,883838,698686,640996
MX,Mexico,2021,2,1738151,667864,509820,445258
AE,United Arab Emirates,2021,2,1299987,552725,407915,339929
IT,Italy,2021,2,1983136,703312,576485,528885
ES,Spain,2021,2,1782274,702405,555261,484944
US,United States,2021,3,7516312,2612751,2141599,1964770
GB,United Kingdom,2021,3,4315037,1594759,1260679,1101030
CA,Canada,2021,3,2894820,1171557,894318,745265
DE,Germany,2021,3,3322892,1278570,943594,865683
FR,France,2021,3,2939251,1066500,874180,763476
AU,Australia,2021,3,2574702,1019458,805896,671580
JP,Japan,2021,3,4804347,1779463,1358369,1246210
SG,Singapore,2021,3,1399640,556372,410607,358609
IN,India,2021,3,4304936,1502973,1231945,1026621
BR,Brazil,2021,3,2564951,892229,705319,647082
MX,Mexico,2021,3,1799637,675368,515548,450260
AE,United Arab Emirates,2021,3,1363161,558401,412104,343420
IT,Italy,2021,3,2013957,703635,576750,529128
ES,Spain,2021,3,1882773,700952,554112,483941
US,United States,2021,4,7953961,2609171,2138665,1962078
GB,United Kingdom,2021,4,4348382,1598149,1263359,1103370
CA,Canada,2021,4,3060507,1181045,901561,751301
DE,Germany,2021,4,3365908,1289387,951577,873006
FR,France,2021,4,3069814,1071912,878616,767350
AU,Australia,2021,4,2651553,1020260,806530,672108
JP,Japan,2021,4,4932783,1773410,1353748,1241971
SG,Singapore,2021,4,1467819,557896,411731,359590
IN,India,2021,4,4396506,1519764,1245708,1038090
BR,Brazil,2021,4,2723377,903362,714120,655156
MX,Mexico,2021,4,1819161,681362,520124,454257
AE,United Arab Emirates,2021,4,1448029,561074,414077,345064
IT,Italy,2021,4,2036933,701435,574947,527474
ES,Spain,2021,4,1970554,700600,553834,483698
US,United States,2021,5,8232087,2616505,2144676,1967593
GB,United Kingdom,2021,5,4451716,1610073,1272785,1111603
CA,Canada,2021,5,3116481,1192420,910244,758537
DE,Germany,2021,5,3498007,1295585,956151,877203
FR,France,2021,5,3081399,1071515,878291,767066
AU,Australia,2021,5,2786254,1018727,805318,671098
JP,Japan,2021,5,4925638,1772672,1353185,1241454
SG,Singapore,2021,5,1542393,562531,415152,362578
IN,India,2021,5,4459396,1541280,1263344,1052787
BR,Brazil,2021,5,2833737,912499,721343,661783
MX,Mexico,2021,5,1865036,683680,521893,455802
AE,United Arab Emirates,2021,5,1482982,561741,414569,345474
IT,Italy,2021,5,2113006,700340,574049,526650
ES,Spain,2021,5,1981287,703986,556511,486036
US,United States,2021,6,8160119,2637834,2162159,1983632
GB,United Kingdom,2021,6,4616499,1624555,1284233,1121601
CA,Canada,2021,6,3082576,1199546,915684,763070
DE,Germany,2021,6,3610665,1294761,955543,876645
FR,France,2021,6,3070501,1068666,875956,765027
AU,Australia,2021,6,2845189,1020243,806516,672097
JP,Japan,2021,6,4980430,1781782,1360139,1247834
SG,Singapore,2021,6,1552590,568879,419837,366670
IN,India,2021,6,4619690,1559455,1278242,1065202
BR,Brazil,2021,6,2822052,916730,724688,664851
MX,Mexico,2021,6,1939607,683549,521793,455714
AE,United Arab Emirates,2021,6,1472532,563288,415711,346426
IT,Italy,2021,6,2181867,702979,576212,528635
ES,Spain,2021,6,1973174,710328,561524,490414
US,United States,2021,7,8050074,2663381,2183099,2002843
GB,United Kingdom,2021,7,4628647,1633231,1291092,1127591
CA,Canada,2021,7,3090642,1200176,916165,763471
DE,Germany,2021,7,3559872,1290976,952750,874083
FR,France,2021,7,3119550,1069016,876243,765278
AU,Australia,2021,7,2780205,1027441,812206,676838
JP,Japan,2021,7,5085769,1796227,1371166,1257950
SG,Singapore,2021,7,1518222,573959,423586,369944
IN,India,2021,7,4736288,1569286,1286300,1071917
BR,Brazil,2021,7,2790872,917679,725438,665539
MX,Mexico,2021,7,1953803,684487,522509,456340
AE,United Arab Emirates,2021,7,1480091,567857,419083,349236
IT,Italy,2021,7,2153296,708559,580786,532831
ES,Spain,2021,7,2003812,716118,566101,494411
US,United States,2021,8,8104914,2679438,2196261,2014918
GB,United Kingdom,2021,8,4456640,1633057,1290954,1127471
CA,Canada,2021,8,3124550,1198059,914549,762124
DE,Germany,2021,8,3428183,1291058,952810,874138
FR,France,2021,8,3128525,1075312,881403,769784
AU,Australia,2021,8,2713250,1037743,820350,683625
JP,Japan,2021,8,5021642,1806567,1379059,1265192
SG,Singapore,2021,8,1508974,575941,425049,371222
IN,India,2021,8,4643696,1573519,1289770,1074808
BR,Brazil,2021,8,2817987,920067,727326,667272
MX,Mexico,2021,8,1887964,689088,526021,459407
AE,United Arab Emirates,2021,8,1502695,574841,424237,353531
IT,Italy,2021,8,2071423,713576,584898,536604
ES,Spain,2021,8,2013186,718339,567857,495945
US,United States,2021,9,8058818,2680984,2197528,2016081
GB,United Kingdom,2021,9,4322513,1629148,1287864,1124772
CA,Canada,2021,9,3059542,1199528,915670,763058
DE,Germany,2021,9,3377954,1298316,958167,879052
FR,France,2021,9,3012879,1084839,889212,776604
AU,Australia,2021,9,2713701,1045705,826644,688870
JP,Japan,2021,9,4788867,1807110,1379473,1265572
SG,Singapore,2021,9,1516903,575860,424989,371169
IN,India,2021,9,4476198,1580236,1295275,1079396
BR,Brazil,2021,9,2816266,927389,733114,672582
MX,Mexico,2021,9,1833965,696600,531756,464416
AE,United Arab Emirates,2021,9,1479966,581417,429090,357575
IT,Italy,2021,9,2036863,715032,586092,537699
ES,Spain,2021,9,1942681,717258,567002,495198
US,United States,2021,10,7748258,2676397,2193768,2012631
GB,United Kingdom,2021,10,4320433,1630114,1288628,1125439
CA,Canada,2021,10,2921193,1207673,921888,768240
DE,Germany,2021,10,3377628,1309469,966398,886604
FR,France,2021,10,2884317,1091896,894997,781657
AU,Australia,2021,10,2693974,1048012,828468,690390
JP,Japan,2021,10,4640736,1801171,1374940,1261413
SG,Singapore,2021,10,1485384,576680,425594,371698
IN,India,2021,10,4449109,1595455,1307750,1089792
BR,Brazil,2021,10,2721424,938653,742018,680750
MX,Mexico,2021,10,1837424,703597,537097,469080
AE,United Arab Emirates,2021,10,1419240,585123,431825,359854
IT,Italy,2021,10,2036479,713199,584589,536320
ES,Spain,2021,10,1859478,716194,566161,494464
US,United States,2021,11,7494208,2679818,2196572,2015204
GB,United Kingdom,2021,11,4302113,1640147,1296559,1132366
CA,Canada,2021,11,2866343,1219463,930888,775740
DE,Germany,2021,11,3307392,1317640,972428,892136
FR,France,2021,11,2872872,1093039,895934,782475
AU,Australia,2021,11,2606516,1046560,827320,689433
JP,Japan,2021,11,4666467,1798071,1372573,1259241
SG,Singapore,2021,11,1431166,580586,428477,374216
IN,India,2021,11,4514155,1617514,1325831,1104859
BR,Brazil,2021,11,2639619,949245,750391,688432
MX,Mexico,2021,11,1837854,707105,539775,471419
AE,United Arab Emirates,2021,11,1396117,586147,432581,360484
IT,Italy,2021,11,1996385,711384,583102,534956
ES,Spain,2021,11,1850697,718486,567973,496046
US,United States,2021,12,8718631,2698154,2211602,2028993
GB,United Kingdom,2021,12,4826922,1655116,1308392,1142700
CA,Canada,2021,12,3364226,1228500,937786,781488
DE,Germany,2021,12,3692901,1318668,973187,892832
FR,France,2021,12,3361107,1090259,893655,780485
AU,Australia,2021,12,2936695,1046747,827468,689557
JP,Japan,2021,12,5390645,1804555,1377523,1263783
SG,Singapore,2021,12,1639707,586947,433171,378315
IN,India,2021,12,5176716,1638481,1343017,1119181
BR,Brazil,2021,12,3078611,955148,755058,692714
MX,Mexico,2021,12,2070391,707366,539974,471593
AE,United Arab Emirates,2021,12,1644758,587187,433348,361123
IT,Italy,2021,12,2227818,712905,584348,536099
ES,Spain,2021,12,2168200,724406,572653,500134
US,United States,2022,1,8188000,2731512,2238944,2054077
GB,United Kingdom,2022,1,4369916,1665517,1316614,1149881
CA,Canada,2022,1,3115621,1227141,936749,780624
DE,Germany,2022,1,3396712,1311262,967721,887817
FR,France,2022,1,3056580,1089209,892794,779733
AU,Australia,2022,1,2750103,1055516,834400,695333
JP,Japan,2022,1,4835935,1824120,1392458,1277484
SG,Singapore,2022,1,1550340,593143,437744,382309
IN,India,2022,1,4673122,1647226,1350185,1125154
BR,Brazil,2022,1,2905187,953603,753836,691593
MX,Mexico,2022,1,1877573,706987,539685,471341
AE,United Arab Emirates,2022,1,1532047,592303,437124,364270
IT,Italy,2022,1,2044601,720400,590492,541736
ES,Spain,2022,1,1976273,731887,578567,505299
US,United States,2022,2,8301277,2743642,2248887,2063199
GB,United Kingdom,2022,2,4573473,1663432,1314966,1148442
CA,Canada,2022,2,3127093,1225396,935417,779514
DE,Germany,2022,2,3569330,1313351,969263,889232
FR,France,2022,2,3064723,1097047,899219,785344
AU,Australia,2022,2,2878296,1065962,842658,702215
JP,Japan,2022,2,4895577,1832010,1398481,1283010
SG,Singapore,2022,2,1602734,594348,438633,383086
IN,India,2022,2,4851092,1651475,1353668,1128057
